day,time,house1,house2
0,SMAPV3001,0.288,0.15
0,SMAPV3002,0.394,0.081
0,SMAPV3003,0.238,0.094
0,SMAPV3004,0.138,0.081
0,SMAPV3005,0.094,0.075
0,SMAPV3006,0.119,0.088
0,SMAPV3007,0.081,0.075
0,SMAPV3008,0.175,0.088
0,SMAPV3009,0.131,0.075
0,SMAPV3010,0.169,0.075
0,SMAPV3011,0.05,0.088
0,SMAPV3012,0.15,0.075
0,SMAPV3013,0.075,0.1
0,SMAPV3014,0.113,0.113
0,SMAPV3015,0.138,0.125
0,SMAPV3016,0.438,0.35
0,SMAPV3017,0.213,1.075
0,SMAPV3018,0.244,0.744
0,SMAPV3019,0.231,1.369
0,SMAPV3020,0.338,0.738
0,SMAPV3021,0.175,1.256
0,SMAPV3022,0.194,0.4
0,SMAPV3023,0.25,0.281
0,SMAPV3024,0.238,0.094
0,SMAPV3025,0.138,0.075
0,SMAPV3026,0.238,0.094
0,SMAPV3027,0.138,0.081
0,SMAPV3028,0.094,0.1
0,SMAPV3029,0.119,0.769
0,SMAPV3030,0.106,0.856
0,SMAPV3031,0.113,0.975
0,SMAPV3032,0.106,0.994
0,SMAPV3033,0.119,0.944
0,SMAPV3034,0.213,0.894
0,SMAPV3035,0.094,0.85
0,SMAPV3036,0.031,0.981
0,SMAPV3037,0.244,0.831
0,SMAPV3038,0.244,0.975
0,SMAPV3039,0.55,1.025
0,SMAPV3040,0.438,1.013
0,SMAPV3041,0.525,0.569
0,SMAPV3042,0.25,0.169
0,SMAPV3043,0.325,0.144
0,SMAPV3044,0.269,0.163
0,SMAPV3045,0.331,0.15
0,SMAPV3046,0.225,0.188
0,SMAPV3047,0.181,0.194
0,SMAPV3048,0.075,0.094
1,SMAPV3001,0.169,0.119
1,SMAPV3002,0.088,0.106
1,SMAPV3003,0.138,0.081
1,SMAPV3004,0.069,0.094
1,SMAPV3005,0.144,0.088
1,SMAPV3006,0.069,0.081
1,SMAPV3007,0.119,0.081
1,SMAPV3008,0.081,0.081
1,SMAPV3009,0.138,0.081
1,SMAPV3010,0.056,0.081
1,SMAPV3011,0.131,0.075
1,SMAPV3012,0.075,0.188
1,SMAPV3013,0.144,0.344
1,SMAPV3014,0.413,0.4
1,SMAPV3015,0.3,0.206
1,SMAPV3016,0.288,0.481
1,SMAPV3017,0.35,0.919
1,SMAPV3018,0.306,0.769
1,SMAPV3019,0.263,0.825
1,SMAPV3020,0.244,0.694
1,SMAPV3021,0.263,0.863
1,SMAPV3022,0.375,0.563
1,SMAPV3023,0.481,0.156
1,SMAPV3024,0.219,0.15
1,SMAPV3025,0.238,0.156
1,SMAPV3026,0.638,0.194
1,SMAPV3027,1.569,0.238
1,SMAPV3028,1.456,0.256
1,SMAPV3029,1.538,0.263
1,SMAPV3030,1.519,0.563
1,SMAPV3031,1.5,1.038
1,SMAPV3032,1.494,1.238
1,SMAPV3033,1.506,1.163
1,SMAPV3034,1.488,1.188
1,SMAPV3035,1.481,1.219
1,SMAPV3036,1.438,1.575
1,SMAPV3037,1.475,0.738
1,SMAPV3038,1.513,1.538
1,SMAPV3039,1.631,1.056
1,SMAPV3040,1.544,0.638
1,SMAPV3041,1.806,1.275
1,SMAPV3042,2.081,0.65
1,SMAPV3043,2.144,0.275
1,SMAPV3044,2.125,0.231
1,SMAPV3045,2.194,0.213
1,SMAPV3046,1.688,0.25
1,SMAPV3047,0.531,0.2
1,SMAPV3048,0.2,0.194
2,SMAPV3001,0.206,0.225
2,SMAPV3002,0.15,0.206
2,SMAPV3003,0.194,0.219
2,SMAPV3004,0.106,0.219
2,SMAPV3005,0.194,0.219
2,SMAPV3006,0.125,0.213
2,SMAPV3007,0.163,0.194
2,SMAPV3008,0.131,0.188
2,SMAPV3009,0.156,0.181
2,SMAPV3010,0.138,0.2
2,SMAPV3011,0.15,0.194
2,SMAPV3012,0.138,0.344
2,SMAPV3013,0.363,0.206
2,SMAPV3014,0.244,0.675
2,SMAPV3015,0.238,2.481
2,SMAPV3016,1.119,2.55
2,SMAPV3017,1.513,2.519
2,SMAPV3018,1.488,2.506
2,SMAPV3019,1.7,2.619
2,SMAPV3020,1.488,2.55
2,SMAPV3021,1.606,2.513
2,SMAPV3022,1.675,2.688
2,SMAPV3023,1.631,2.519
2,SMAPV3024,1.788,2.556
2,SMAPV3025,2.363,2.556
2,SMAPV3026,1.763,2.706
2,SMAPV3027,1.681,2.738
2,SMAPV3028,1.694,2.781
2,SMAPV3029,1.644,2.825
2,SMAPV3030,1.694,2.606
2,SMAPV3031,1.719,2.7
2,SMAPV3032,1.688,2.781
2,SMAPV3033,1.625,2.788
2,SMAPV3034,1.681,2.644
2,SMAPV3035,1.494,2.119
2,SMAPV3036,1.525,1.075
2,SMAPV3037,1.506,0.838
2,SMAPV3038,1.563,0.819
2,SMAPV3039,1.556,0.713
2,SMAPV3040,1.763,0.638
2,SMAPV3041,1.563,0.65
2,SMAPV3042,1.319,0.525
2,SMAPV3043,0.394,0.625
2,SMAPV3044,0.531,0.219
2,SMAPV3045,0.831,0.231
2,SMAPV3046,0.913,0.206
2,SMAPV3047,0.8,0.181
2,SMAPV3048,0.525,0.194
